params: 341M total / 99M active | mode=joint lambda_pred=0.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step     0 | lm 11.007 | pred 2.868 | 2532 tok/s
step    20 | lm 9.949 | pred 2.857 | 4788 tok/s
step    40 | lm 9.048 | pred 2.836 | 4951 tok/s
step    60 | lm 7.888 | pred 2.848 | 5011 tok/s
step    80 | lm 7.736 | pred 2.852 | 5055 tok/s
step   100 | lm 7.338 | pred 2.851 | 5073 tok/s
step   120 | lm 7.791 | pred 2.867 | 5089 tok/s
step   140 | lm 7.279 | pred 2.855 | 5098 tok/s
step   160 | lm 6.982 | pred 2.874 | 5104 tok/s
step   180 | lm 7.156 | pred 2.864 | 5109 tok/s
step   200 | lm 7.085 | pred 2.864 | 5111 tok/s
step   220 | lm 7.003 | pred 2.863 | 5111 tok/s
step   240 | lm 6.834 | pred 2.859 | 5104 tok/s
step   260 | lm 7.102 | pred 2.854 | 5101 tok/s
step   280 | lm 6.498 | pred 2.860 | 5105 tok/s
step   300 | lm 6.931 | pred 2.850 | 5111 tok/s
step   320 | lm 6.977 | pred 2.867 | 5114 tok/s
step   340 | lm 6.696 | pred 2.870 | 5117 tok/s
step   360 | lm 7.137 | pred 2.871 | 5118 tok/s
step   380 | lm 7.091 | pred 2.874 | 5118 tok/s
step   400 | lm 6.897 | pred 2.867 | 5120 tok/s
step   420 | lm 6.772 | pred 2.876 | 5119 tok/s
step   440 | lm 7.126 | pred 2.863 | 5121 tok/s
step   460 | lm 6.826 | pred 2.865 | 5124 tok/s
step   480 | lm 6.968 | pred 2.866 | 5125 tok/s
  eval step 500: lm 7.013 pred 2.861 hit@k [h1: 0.121 | h2: 0.165 | h4: 0.127] | ent 0.421 persist 0.165 util_max 0.303
step   500 | lm 6.775 | pred 2.861 | 5058 tok/s
step   520 | lm 6.510 | pred 2.853 | 5061 tok/s
step   540 | lm 6.671 | pred 2.863 | 5053 tok/s
step   560 | lm 6.749 | pred 2.859 | 5022 tok/s
step   580 | lm 6.574 | pred 2.859 | 4991 tok/s
